YEAR,Car_Age,MILEAGE,CAR_PRICE
2016,7 ,18500,60000
2019,4,32041,66900
2015,8,36262,38000
2018,5,37448,68991
2016,7,22000,43000
2016,7,6800,59000
2023,0,15,139999
2015,8,37950,49990
2021,2,18595,75885
2023,0,1000,120000
