Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-23,5.91,5.91,5.91,5.91,2.624302,0,0
2013-09-24,5.915,5.915,5.915,5.915,2.626523,0,1
2013-09-25,5.91,5.91,5.91,5.91,2.624302,0,2
2013-09-26,5.874,5.874,5.874,5.874,2.608316,0,3
2013-09-27,5.826,5.826,5.826,5.826,2.587002,0,4
2013-09-30,5.836,5.836,5.836,5.836,2.591442,0,5
2013-10-01,5.877,5.877,5.877,5.877,2.609648,0,6
2013-10-02,5.867,5.867,5.867,5.867,2.605208,0,7
2013-10-03,5.828,5.828,5.828,5.828,2.58789,0,8
2013-10-04,5.894,5.894,5.894,5.894,2.617197,0,9
2013-10-07,5.86,5.86,5.86,5.86,2.6021,0,10
2013-10-08,5.771,5.771,5.771,5.771,2.56258,0,11
2013-10-09,5.76,5.76,5.76,5.76,2.557695,0,12
2013-10-10,5.875,5.875,5.875,5.875,2.608761,0,13
2013-10-11,5.878,5.878,5.878,5.878,2.610092,0,14
2013-10-14,5.919,5.919,5.919,5.919,2.628299,0,15
2013-10-15,5.864,5.864,5.864,5.864,2.603875,0,16
2013-10-16,5.926,5.926,5.926,5.926,2.631407,0,17
2013-10-17,5.941,5.941,5.941,5.941,2.638068,0,18
2013-10-18,5.977,5.977,5.977,5.977,2.654053,0,19
2013-10-21,6.002,6.002,6.002,6.002,2.665154,0,20
2013-10-22,5.968,5.968,5.968,5.968,2.650056,0,21
2013-10-23,5.819,5.819,5.819,5.819,2.583894,0,22
2013-10-24,5.836,5.836,5.836,5.836,2.591442,0,23
2013-10-25,5.853,5.853,5.853,5.853,2.598992,0,24
2013-10-28,5.897,5.897,5.897,5.897,2.61853,0,25
2013-10-29,5.938,5.938,5.938,5.938,2.636736,0,26
2013-10-30,5.89,5.89,5.89,5.89,2.615421,0,27
2013-10-31,5.893,5.893,5.893,5.893,2.616753,0,28
2013-11-01,5.901,5.901,5.901,5.901,2.620306,0,29
2013-11-04,5.889,5.889,5.889,5.889,2.614977,0,30
2013-11-05,5.883,5.883,5.883,5.883,2.612313,0,31
2013-11-06,5.895,5.895,5.895,5.895,2.617642,0,32
2013-11-07,5.807,5.807,5.807,5.807,2.578565,0,33
2013-11-08,5.871,5.871,5.871,5.871,2.606984,0,34
2013-11-11,5.871,5.871,5.871,5.871,2.606984,0,35
2013-11-12,5.93,5.93,5.93,5.93,2.633183,0,36
2013-11-13,5.985,5.985,5.985,5.985,2.657606,0,37
2013-11-14,5.919,5.919,5.919,5.919,2.628299,0,38
2013-11-15,5.944,5.944,5.944,5.944,2.639399,0,39
2013-11-18,5.911,5.911,5.911,5.911,2.624746,0,40
2013-11-19,5.839,5.839,5.839,5.839,2.592774,0,41
2013-11-20,5.814,5.814,5.814,5.814,2.581673,0,42
2013-11-21,5.919,5.919,5.919,5.919,2.628299,0,43
2013-11-22,5.894,5.894,5.894,5.894,2.617197,0,44
2013-11-25,5.898,5.898,5.898,5.898,2.618973,0,45
2013-11-26,5.913,5.913,5.913,5.913,2.625634,0,46
2013-11-27,5.96,5.96,5.96,5.96,2.646504,0,47
2013-11-29,5.962,5.962,5.962,5.962,2.647391,0,48
2013-12-02,5.937,5.937,5.937,5.937,2.636291,0,49
2013-12-03,5.944,5.944,5.944,5.944,2.639399,0,50
2013-12-04,5.949,5.949,5.949,5.949,2.64162,0,51
2013-12-05,5.986,5.986,5.986,5.986,2.65805,0,52
2013-12-06,6.008,6.008,6.008,6.008,2.682157,0,53
2013-12-09,6.022,6.022,6.022,6.022,2.688407,0,54
2013-12-10,6.009,6.009,6.009,6.009,2.682603,0,55
2013-12-11,5.948,5.948,5.948,5.948,2.655371,0,56
2013-12-12,5.911,5.911,5.911,5.911,2.638853,0,57
2013-12-13,5.902,5.902,5.902,5.902,2.634834,0,58
2013-12-16,6.046,6.046,6.046,6.046,2.699121,0,59
2013-12-17,6.097,6.097,6.097,6.097,2.721889,0,60
2013-12-18,6.118,6.118,6.118,6.118,2.731264,0,61
2013-12-19,6.096,6.096,6.096,6.096,2.721442,0,62
2013-12-20,6.132,6.132,6.132,6.132,2.737514,0,63
2013-12-23,6.195,6.195,6.195,6.195,2.76564,0,64
2013-12-24,6.224,6.224,6.224,6.224,2.778586,0,65
2013-12-26,6.229,6.229,6.229,6.229,2.780818,0,66
2013-12-27,6.243,6.243,6.243,6.243,2.787068,0,67
2013-12-30,6.269,6.269,6.269,6.269,2.801547,0,68
2013-12-31,6.313,6.313,6.313,6.313,2.82121,0,69
2014-01-02,6.218,6.218,6.218,6.218,2.778756,0,70
2014-01-03,6.223,6.223,6.223,6.223,2.78099,0,71
2014-01-06,6.205,6.205,6.205,6.205,2.772946,0,72
2014-01-07,6.23,6.23,6.23,6.23,2.784119,0,73
2014-01-08,6.285,6.285,6.285,6.285,2.808697,0,74
2014-01-09,6.233,6.233,6.233,6.233,2.785459,0,75
2014-01-10,6.244,6.244,6.244,6.244,2.790375,0,76
2014-01-13,6.214,6.214,6.214,6.214,2.776969,0,77
2014-01-14,6.369,6.369,6.369,6.369,2.846236,0,78
2014-01-15,6.44,6.44,6.44,6.44,2.877965,0,79
2014-01-16,6.408,6.408,6.408,6.408,2.863664,0,80
2014-01-17,6.384,6.384,6.384,6.384,2.85294,0,81
